id,original1,edit1,grades1,meanGrade1,original2,edit2,grades2,meanGrade2,label
107539-107540,""" It 's official : Dodgers definitely were cheated out of 2017 World <Series/> title by Astros ’ sign-stealing """,Car,22100,1.0,""" It 's official : Dodgers definitely were cheated out of 2017 World Series <title/> by Astros ’ sign-stealing """,hotdogs,22211,1.6,2
107539-107538,""" It 's official : Dodgers definitely were cheated out of 2017 World <Series/> title by Astros ’ sign-stealing """,Car,22100,1.0,""" It 's official : <Dodgers/> definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,Jetsons,32211,1.8,2
107540-107538,""" It 's official : Dodgers definitely were cheated out of 2017 World Series <title/> by Astros ’ sign-stealing """,hotdogs,22211,1.6,""" It 's official : <Dodgers/> definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,Jetsons,32211,1.8,2
101237-101236,""" The Booing Is F *** ing Us Up "" : ' The View ' Melts Down Over <Donald Trump Jr/> . Visit",ghosts,31110,1.2,""" The Booing Is F *** ing Us Up "" : ' The View ' Melts Down Over <Donald Trump Jr/> . Visit",Ghost,222210,1.5,2
100737-100736,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' <Movie/> ",imitation,11000,0.4,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' <Joker/> ' Movie",chipmunks,32110,1.4,2
100737-100738,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' <Movie/> ",imitation,11000,0.4,""" You 've Got to <Stop/> This "" : Jared Leto Fumed Over New ' Joker ' Movie",Dab,32200,1.4,2
100736-100738,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' <Joker/> ' Movie",chipmunks,32110,1.4,""" You 've Got to <Stop/> This "" : Jared Leto Fumed Over New ' Joker ' Movie",Dab,32200,1.4,0
103102-103101,"$ 120,000 Banana Highlights The Elitism Of The <Art/> World",monkey,32221,2.0,"$ 120,000 Banana Highlights The Elitism Of The <Art/> World",Chimpanzee,33331,2.6,2
102659-102658,$ 5B class action lawsuit accusing Apple of selling customer <data/> is thrown out,organs,22111,1.4,$ 5B class action lawsuit accusing Apple of selling customer <data/> is thrown out,children,22210,1.4,0
107745-107744,' Alarming ' one in five deaths due to <sepsis/> ,democrats,211110,1.0,' Alarming ' one in five deaths due to <sepsis/> ,Cake,22210,1.4,2
105448-105449,' All hell is breaking loose ' : Massive <fire/> threatens all of Kangaroo Island,Kangaroo,22221,1.8,' All hell is breaking loose ' : Massive <fire/> threatens all of Kangaroo Island,joey,33111,1.8,0
105248-105249,' A new focus for us ' : Canada 's building code being modernized to address <climate/> change,Gender,21111,1.2,' A new focus for us ' : Canada 's building code being modernized to address <climate/> change,gender,22110,1.2,0
105266-105265,' Apocalyptic ' : New Zealand shrouded in <smoke/> from Australian bushfires,zombies,22111,1.4,' Apocalyptic ' : New Zealand shrouded in <smoke/> from Australian bushfires,Australians,11100,0.6,1
105881-105882,' <Apprentice/> ' contestant 's lawsuit against Trump goes to top New York court,TrumpU,221000,0.8333333333333334,' Apprentice ' contestant 's lawsuit against Trump goes to top New York <court/> ,zoo,32210,1.6,2
101573-101574,"' Avengers ' Directors on Scorsese 's Marvel Criticism : "" Nobody <Owns/> Cinema """,Likes,31100,1.0,"' Avengers ' Directors on Scorsese 's Marvel Criticism : "" Nobody <Owns/> Cinema """,cares,22110,1.2,2
